|lemma|lemma_correct
1527.0|Tor|das Tor
1527.1||der Tor
1528.0|makaber|
1530.0|lila|
1531.0|Leggings|
1535.0|Schild|der Schild
1535.1||das Schild
1537.0|hetzen|
1538.0|zwinkern|
1539.0|entzücken|
1540.0|lesen|
1541.0|Geschichte|die Geschichte
1542.0|wohl|
1543.0|Bezugspunkt|
1544.0|Schundliteratur|
1545.0|Groschenroman|der Groschenroman
1546.0|wirr|
1547.0|ausdenken|
1548.0|Lack|der Lack
1551.0|Kapital|das Kapital
1552.0|beide|
1553.0|Figur|die Figur
1554.0|Platz|der Platz
1555.0|achtzehn|
1556.0|März|der März
1557.0|Koch|der Koch
1557.1||das Koch
1558.0|Bühne|die Bühne
1559.0|empören|
1561.0|Satan|der Satan
1562.0|Museum|das Museum
1563.0|spät|
1564.0|dort|
1565.0|einbrechen|
1566.0|randalieren|
1567.0|Grundschullehrer|der Grundschullehrer
1568.0|erzählen|
1569.0|irgendwas|
1570.0|GmbH|die GmbH
