|lemma|lemma_correct
29537.0|Wagen|Wagen
29539.0|Patina|die Patina
29549.0|Parkplatz|der Parkplatz
29555.0|Cent|der Cent
29557.0|nerven|nerven
29558.0|extrem|extrem
29559.0|deswegen|deswegen
29575.0|aufmachen|aufmachen
29578.0|Apfelsaft|der Apfelsaft
29589.0|geradeaus|geradeaus
29610.0|Gummi|der Gummi
29610.001|Gummi|das Gummi
29616.0|Motor|der Motor
29633.0|Anzeige|die Anzeige
29635.0|blinken|blinken
29650.0|Daumen|der Daumen
29654.0|Fahrt|die Fahrt
29681.0|Führerschein|der Führerschein
29696.0|Oma|die Oma
29720.0|ohnehin|ohnehin
29755.0|Remix|Remix
29758.0|Medley|das Medley
29764.0|bittersüß|bittersüß
29765.0|Rausch|der Rausch
29766.0|Kipp|Kipp
29795.0|Vakuum|das Vakuum
29831.0|hinterher|hinterher
29848.0|auskurieren|auskurieren
29860.0|Schönheit|die Schönheit
29867.0|Absinth|der Absinth
29886.0|Wirrwarr|der Wirrwarr
29886.001|Wirrwarr|das Wirrwarr
29886.002|Wirrwarr|die Wirrwarr
29961.0|surreal|surreal
30028.0|Frühe|die Frühe
30058.0|Partisan|der Partisan
30105.0|Genosse|der Genosse
30113.0|ciao|ciao
30125.0|Ruh|die Ruh
30153.0|zart|zart
30290.0|übern|übern
30318.0|inmitten|inmitten
30326.0|Gedränge|das Gedränge
30348.0|untergehen|untergehen
30361.0|Kontrolle|die Kontrolle
30395.0|fällen|fällen
30492.0|My|das My
30502.0|he|he
30517.0|Snob|der Snob
30522.0|Kreuzberg|Kreuzberg
30539.0|Kaiser|der Kaiser
30544.0|erstens|erstens
30565.0|saufen|saufen
30622.0|rücken|rücken
30643.0|riesengroß|riesengroß
30658.0|down|down
30666.0|out|out
30695.0|Loveparade|die Loveparade
30701.0|Ma|die Ma
30704.0|AB|der AB
30851.0|Havanna|die Havanna
30851.001|Havanna|der Havanna
30882.0|Te|Te
30967.0|Bernd|Bernd
30969.0|Abteilungsleiter|der Abteilungsleiter
30972.0|Stiftung|die Stiftung
30973.0|Warentest|Warentest
30992.0|testen|testen
30996.0|stimmen|stimmen
31006.0|Urteil|das Urteil
